Entity,Year,Coal price index,Oil spot crude price index
South China,2013,271.1,
South China,2014,238.98859,
South China,2015,191.86919,
South China,2016,202.71384,
South China,2017,269.12497,
South China,2018,282.5446,
South China,2019,100.0,
South China,2020,87.04813,
South China,2021,354.29794,
South China,2022,505.0951,
South China,2023,342.79437,
UK NBP,2003,,
UK NBP,2004,,
UK NBP,2005,,
UK NBP,2006,,
UK NBP,2007,,
UK NBP,2008,,
UK NBP,2009,,
UK NBP,2010,,
UK NBP,2011,,
UK NBP,2012,,
UK NBP,2013,,
UK NBP,2014,,
UK NBP,2015,,
UK NBP,2016,,
UK NBP,2017,,
UK NBP,2018,,
UK NBP,2019,,
UK NBP,2020,,
UK NBP,2021,,
UK NBP,2022,,
UK NBP,2023,,
US Henry Hub,2003,,
US Henry Hub,2004,,
US Henry Hub,2005,,
US Henry Hub,2006,,
US Henry Hub,2007,,
US Henry Hub,2008,,
US Henry Hub,2009,,
US Henry Hub,2010,,
US Henry Hub,2011,,
US Henry Hub,2012,,
US Henry Hub,2013,,
US Henry Hub,2014,,
US Henry Hub,2015,,
US Henry Hub,2016,,
US Henry Hub,2017,,
US Henry Hub,2018,,
US Henry Hub,2019,,
US Henry Hub,2020,,
US Henry Hub,2021,,
US Henry Hub,2022,,
US Henry Hub,2023,,
United States,2003,67.389824,
United States,2004,113.53608,
United States,2005,122.66877,
United States,2006,101.14186,
United States,2007,87.0009,
United States,2008,205.40492,
United States,2009,106.246284,
United States,2010,118.73582,
United States,2011,148.2664,
United States,2012,117.698875,
United States,2013,121.96007,
United States,2014,117.35387,
United States,2015,90.207924,
United States,2016,90.00025,
United States,2017,111.652985,
United States,2018,127.42991,
United States,2019,100.0,
United States,2020,74.813484,
United States,2021,119.89742,
United States,2022,275.64035,
United States,2023,128.72992,
West Texas Intermediate,2003,,54.46622
West Texas Intermediate,2004,,72.74677
West Texas Intermediate,2005,,99.22956
West Texas Intermediate,2006,,115.792435
West Texas Intermediate,2007,,126.60522
West Texas Intermediate,2008,,175.45488
West Texas Intermediate,2009,,108.578575
West Texas Intermediate,2010,,139.31097
West Texas Intermediate,2011,,166.64117
West Texas Intermediate,2012,,165.0467
West Texas Intermediate,2013,,171.82498
West Texas Intermediate,2014,,163.56685
West Texas Intermediate,2015,,85.40622
West Texas Intermediate,2016,,75.999466
West Texas Intermediate,2017,,89.0626
West Texas Intermediate,2018,,114.33343
West Texas Intermediate,2019,,100.0
West Texas Intermediate,2020,,68.81452
West Texas Intermediate,2021,,119.403015
West Texas Intermediate,2022,,165.84172
West Texas Intermediate,2023,,138.3129
Zeebrugge,2005,,
Zeebrugge,2006,,
Zeebrugge,2007,,
Zeebrugge,2008,,
Zeebrugge,2009,,
Zeebrugge,2010,,
Zeebrugge,2011,,
Zeebrugge,2012,,
Zeebrugge,2013,,
Zeebrugge,2014,,
Zeebrugge,2015,,
Zeebrugge,2016,,
Zeebrugge,2017,,
Zeebrugge,2018,,
Zeebrugge,2019,,
Zeebrugge,2020,,
Zeebrugge,2021,,
Zeebrugge,2022,,
Zeebrugge,2023,,
